date,newCasesBySpecimenDate,cumCasesBySpecimenDate
26/10/2021,9806,8897149
25/10/2021,41165,8887343
24/10/2021,34117,8846178
23/10/2021,33851,8812061
22/10/2021,39755,8778210
21/10/2021,44280,8738455
20/10/2021,50705,8694175
19/10/2021,51462,8643470
18/10/2021,56600,8592008
17/10/2021,42939,8535408
16/10/2021,37222,8492469
15/10/2021,42800,8455247
14/10/2021,45582,8412447
13/10/2021,46944,8366865
12/10/2021,47464,8319921
11/10/2021,49408,8272457
10/10/2021,35800,8223049
09/10/2021,31687,8187249
08/10/2021,34974,8155562
07/10/2021,37856,8120588
06/10/2021,38582,8082732
05/10/2021,38590,8044150
04/10/2021,43034,8005560
03/10/2021,31478,7962526
02/10/2021,25882,7931048
01/10/2021,28602,7905166
30/09/2021,32012,7876564
29/09/2021,34299,7844552
28/09/2021,35926,7810253
27/09/2021,40918,7774327
26/09/2021,31523,7733409
25/09/2021,27858,7701886
24/09/2021,31600,7674028
23/09/2021,35219,7642428
22/09/2021,36156,7607209
21/09/2021,38265,7571053
20/09/2021,40115,7532788
19/09/2021,30544,7492673
18/09/2021,26306,7462129
17/09/2021,29064,7435823
16/09/2021,29177,7406759
15/09/2021,29945,7377582
14/09/2021,30944,7347637
13/09/2021,34124,7316693
12/09/2021,23671,7282569
11/09/2021,23210,7258898
10/09/2021,28733,7235688
09/09/2021,33410,7206955
08/09/2021,35232,7173545
07/09/2021,38021,7138313
06/09/2021,44148,7100292
05/09/2021,31255,7056144
04/09/2021,31362,7024889
03/09/2021,38025,6993527
02/09/2021,41632,6955502
01/09/2021,42834,6913870
31/08/2021,44474,6871036
30/08/2021,34172,6826562
29/08/2021,25694,6792390
28/08/2021,27166,6766696
27/08/2021,33180,6739530
26/08/2021,36990,6706350
25/08/2021,38101,6669360
24/08/2021,37022,6631259
23/08/2021,39044,6594237
22/08/2021,28298,6555193
21/08/2021,28092,6526895
20/08/2021,31673,6498803
19/08/2021,35828,6467130
18/08/2021,38013,6431302
17/08/2021,37192,6393289
16/08/2021,36189,6356097
15/08/2021,24925,6319908
14/08/2021,24646,6294983
13/08/2021,28440,6270337
12/08/2021,31127,6241897
11/08/2021,32737,6210770
10/08/2021,30920,6178033
09/08/2021,31533,6147113
08/08/2021,22418,6115580
07/08/2021,22117,6093162
06/08/2021,27539,6071045
05/08/2021,31077,6043506
04/08/2021,31725,6012429
03/08/2021,29819,5980704
02/08/2021,29276,5950885
01/08/2021,20513,5921609
