date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
28/01/2022,109,182136
27/01/2022,124,182027
26/01/2022,151,181903
25/01/2022,155,181752
24/01/2022,195,181597
23/01/2022,191,181402
22/01/2022,199,181211
21/01/2022,224,181012
20/01/2022,183,180788
19/01/2022,204,180605
18/01/2022,212,180401
17/01/2022,220,180189
16/01/2022,237,179969
15/01/2022,243,179732
14/01/2022,220,179489
13/01/2022,231,179269
12/01/2022,224,179038
11/01/2022,221,178814
10/01/2022,230,178593
09/01/2022,231,178363
08/01/2022,203,178132
07/01/2022,215,177929
06/01/2022,205,177714
05/01/2022,163,177509
04/01/2022,193,177346
03/01/2022,169,177153
02/01/2022,162,176984
01/01/2022,164,176822
31/12/2021,143,176658
30/12/2021,167,176515
29/12/2021,122,176348
28/12/2021,149,176226
27/12/2021,126,176077
26/12/2021,112,175951
25/12/2021,106,175839
24/12/2021,114,175733
23/12/2021,128,175619
22/12/2021,128,175491
21/12/2021,104,175363
20/12/2021,128,175259
19/12/2021,108,175131
18/12/2021,106,175023
17/12/2021,123,174917
16/12/2021,111,174794
15/12/2021,113,174683
14/12/2021,149,174570
13/12/2021,105,174421
12/12/2021,130,174316
11/12/2021,105,174186
10/12/2021,118,174081
09/12/2021,125,173963
08/12/2021,125,173838
07/12/2021,125,173713
06/12/2021,141,173588
05/12/2021,115,173447
04/12/2021,158,173332
03/12/2021,142,173174
02/12/2021,120,173032
01/12/2021,136,172912
30/11/2021,115,172776
29/11/2021,142,172661
28/11/2021,138,172519
27/11/2021,119,172381
26/11/2021,128,172262
25/11/2021,140,172134
24/11/2021,121,171994
23/11/2021,145,171873
22/11/2021,125,171728
21/11/2021,116,171603
20/11/2021,139,171487
19/11/2021,138,171348
18/11/2021,128,171210
17/11/2021,122,171082
16/11/2021,163,170960
15/11/2021,161,170797
14/11/2021,131,170636
13/11/2021,150,170505
12/11/2021,138,170355
11/11/2021,153,170217
10/11/2021,167,170064
09/11/2021,156,169897
08/11/2021,156,169741
07/11/2021,158,169585
06/11/2021,168,169427
05/11/2021,162,169259
04/11/2021,165,169097
03/11/2021,178,168932
02/11/2021,160,168754
01/11/2021,188,168594
31/10/2021,193,168406
30/10/2021,161,168213
29/10/2021,182,168052
28/10/2021,196,167870
27/10/2021,172,167674
26/10/2021,173,167502
25/10/2021,148,167329
24/10/2021,164,167181
23/10/2021,166,167017
22/10/2021,148,166851
21/10/2021,162,166703
20/10/2021,151,166541
19/10/2021,141,166390
18/10/2021,136,166249
17/10/2021,137,166113
16/10/2021,151,165976
15/10/2021,138,165825
14/10/2021,160,165687
13/10/2021,135,165527
12/10/2021,134,165392
11/10/2021,135,165258
10/10/2021,113,165123
09/10/2021,119,165010
08/10/2021,121,164891
07/10/2021,132,164770
06/10/2021,111,164638
05/10/2021,133,164527
04/10/2021,110,164394
03/10/2021,105,164284
02/10/2021,117,164179
01/10/2021,138,164062
30/09/2021,126,163924
29/09/2021,141,163798
28/09/2021,118,163657
27/09/2021,124,163539
26/09/2021,109,163415
25/09/2021,127,163306
24/09/2021,138,163179
23/09/2021,147,163041
22/09/2021,157,162894
21/09/2021,135,162737
20/09/2021,157,162602
19/09/2021,131,162445
18/09/2021,135,162314
17/09/2021,181,162179
16/09/2021,159,161998
15/09/2021,164,161839
14/09/2021,164,161675
13/09/2021,117,161511
12/09/2021,141,161394
11/09/2021,143,161253
10/09/2021,149,161110
09/09/2021,179,160961
08/09/2021,141,160782
07/09/2021,164,160641
06/09/2021,156,160477
05/09/2021,162,160321
04/09/2021,143,160159
03/09/2021,150,160016
02/09/2021,137,159866
01/09/2021,123,159729
31/08/2021,125,159606
30/08/2021,108,159481
29/08/2021,137,159373
28/08/2021,134,159236
27/08/2021,137,159102
26/08/2021,123,158965
25/08/2021,106,158842
24/08/2021,118,158736
23/08/2021,119,158618
22/08/2021,128,158499
21/08/2021,113,158371
20/08/2021,126,158258
19/08/2021,113,158132
18/08/2021,111,158019
17/08/2021,97,157908
16/08/2021,88,157811
15/08/2021,91,157723
14/08/2021,103,157632
13/08/2021,96,157529
12/08/2021,105,157433
11/08/2021,87,157328
10/08/2021,83,157241
09/08/2021,84,157158
08/08/2021,83,157074
07/08/2021,106,156991
06/08/2021,95,156885
05/08/2021,100,156790
04/08/2021,92,156690
03/08/2021,80,156598
02/08/2021,92,156518
01/08/2021,96,156426
31/07/2021,90,156330
30/07/2021,102,156240
29/07/2021,88,156138
28/07/2021,82,156050
27/07/2021,75,155968
26/07/2021,79,155893
25/07/2021,70,155814
24/07/2021,68,155744
23/07/2021,82,155676
22/07/2021,85,155594
21/07/2021,62,155509
20/07/2021,68,155447
19/07/2021,86,155379
18/07/2021,72,155293
17/07/2021,60,155221
16/07/2021,54,155161
15/07/2021,52,155107
14/07/2021,45,155055
13/07/2021,49,155010
12/07/2021,42,154961
11/07/2021,35,154919
10/07/2021,45,154884
09/07/2021,51,154839
08/07/2021,41,154788
07/07/2021,36,154747
06/07/2021,34,154711
05/07/2021,29,154677
04/07/2021,29,154648
03/07/2021,31,154619
02/07/2021,32,154588
01/07/2021,28,154556
30/06/2021,26,154528
29/06/2021,24,154502
28/06/2021,18,154478
27/06/2021,24,154460
26/06/2021,17,154436
25/06/2021,21,154419
24/06/2021,29,154398
23/06/2021,9,154369
22/06/2021,17,154360
21/06/2021,12,154343
20/06/2021,22,154331
19/06/2021,20,154309
18/06/2021,18,154289
17/06/2021,9,154271
16/06/2021,13,154262
15/06/2021,21,154249
14/06/2021,12,154228
13/06/2021,12,154216
12/06/2021,12,154204
11/06/2021,13,154192
10/06/2021,16,154179
09/06/2021,17,154163
08/06/2021,15,154146
07/06/2021,6,154131
06/06/2021,13,154125
05/06/2021,7,154112
04/06/2021,14,154105
03/06/2021,16,154091
02/06/2021,12,154075
01/06/2021,10,154063
31/05/2021,11,154053
30/05/2021,9,154042
29/05/2021,12,154033
28/05/2021,14,154021
27/05/2021,8,154007
26/05/2021,14,153999
25/05/2021,10,153985
24/05/2021,16,153975
23/05/2021,16,153959
22/05/2021,4,153943
21/05/2021,18,153939
20/05/2021,7,153921
19/05/2021,4,153914
18/05/2021,11,153910
17/05/2021,13,153899
16/05/2021,14,153886
15/05/2021,15,153872
14/05/2021,14,153857
13/05/2021,15,153843
12/05/2021,15,153828
11/05/2021,21,153813
10/05/2021,8,153792
09/05/2021,11,153784
08/05/2021,20,153773
07/05/2021,17,153753
06/05/2021,17,153736
05/05/2021,22,153719
04/05/2021,15,153697
03/05/2021,17,153682
02/05/2021,18,153665
01/05/2021,15,153647
30/04/2021,16,153632
29/04/2021,17,153616
28/04/2021,21,153599
27/04/2021,25,153578
