date,newCasesBySpecimenDate,cumCasesBySpecimenDate
03/02/2022,64713,17718683
02/02/2022,82731,17653970
01/02/2022,88887,17571239
31/01/2022,100134,17482352
30/01/2022,83055,17382218
29/01/2022,69893,17299163
28/01/2022,80500,17229270
27/01/2022,92463,17148770
26/01/2022,104328,17056307
25/01/2022,108838,16951979
24/01/2022,122486,16843141
23/01/2022,97718,16720655
22/01/2022,78224,16622937
21/01/2022,88159,16544713
20/01/2022,96742,16456554
19/01/2022,107815,16359812
18/01/2022,114527,16251997
17/01/2022,127212,16137470
16/01/2022,94151,16010258
15/01/2022,75095,15916107
14/01/2022,83514,15841012
13/01/2022,93475,15757498
12/01/2022,100155,15664023
11/01/2022,112274,15563868
10/01/2022,129501,15451594
09/01/2022,92243,15322093
08/01/2022,90773,15229850
07/01/2022,117310,15139077
06/01/2022,169301,15021767
05/01/2022,217517,14852466
04/01/2022,273074,14634949
03/01/2022,227583,14361875
02/01/2022,179271,14134292
01/01/2022,117162,13955021
31/12/2021,186771,13837859
30/12/2021,234207,13651088
29/12/2021,270314,13416881
28/12/2021,210628,13146567
27/12/2021,193235,12935939
26/12/2021,115639,12742704
25/12/2021,69957,12627065
24/12/2021,136346,12557108
23/12/2021,159187,12420762
22/12/2021,160214,12261575
21/12/2021,149321,12101361
20/12/2021,133168,11952040
19/12/2021,88717,11818872
18/12/2021,88483,11730155
17/12/2021,95463,11641672
16/12/2021,105534,11546209
15/12/2021,112178,11440675
14/12/2021,102376,11328497
13/12/2021,86873,11226121
12/12/2021,52988,11139248
11/12/2021,48459,11086260
10/12/2021,52337,11037801
09/12/2021,56865,10985464
08/12/2021,58640,10928599
07/12/2021,56067,10869959
06/12/2021,59528,10813892
05/12/2021,40922,10754364
04/12/2021,38719,10713442
03/12/2021,45585,10674723
02/12/2021,50226,10629138
01/12/2021,54746,10578912
30/11/2021,55608,10524166
29/11/2021,56226,10468558
28/11/2021,39665,10412332
27/11/2021,33256,10372667
26/11/2021,39291,10339411
25/11/2021,43376,10300120
24/11/2021,46719,10256744
23/11/2021,48140,10210025
22/11/2021,50680,10161885
21/11/2021,37213,10111205
20/11/2021,35296,10073992
19/11/2021,39556,10038696
18/11/2021,44029,9999140
17/11/2021,45864,9955111
16/11/2021,46376,9909247
15/11/2021,50890,9862871
14/11/2021,35481,9811981
13/11/2021,32852,9776500
12/11/2021,37720,9743648
11/11/2021,40949,9705928
10/11/2021,42895,9664979
09/11/2021,42200,9622084
08/11/2021,44088,9579884
07/11/2021,30555,9535796
06/11/2021,27422,9505241
05/11/2021,30290,9477819
04/11/2021,33617,9447529
03/11/2021,35928,9413912
02/11/2021,37974,9377984
01/11/2021,45059,9340010
31/10/2021,34766,9294951
30/10/2021,33520,9260185
29/10/2021,40212,9226665
28/10/2021,41335,9186453
27/10/2021,42996,9145118
26/10/2021,42071,9102122
25/10/2021,47422,9060051
24/10/2021,35729,9012629
23/10/2021,35062,8976900
22/10/2021,40630,8941838
21/10/2021,45157,8901208
20/10/2021,51607,8856051
19/10/2021,52479,8804444
18/10/2021,57679,8751965
17/10/2021,43714,8694286
16/10/2021,37851,8650572
15/10/2021,43518,8612721
14/10/2021,46378,8569203
13/10/2021,47732,8522825
12/10/2021,48270,8475093
11/10/2021,50250,8426823
10/10/2021,36396,8376573
09/10/2021,32276,8340177
08/10/2021,35572,8307901
07/10/2021,38441,8272329
06/10/2021,39233,8233888
05/10/2021,39239,8194655
04/10/2021,43704,8155416
03/10/2021,32028,8111712
02/10/2021,26296,8079684
01/10/2021,29038,8053388
30/09/2021,32569,8024350
29/09/2021,34790,7991781
28/09/2021,36503,7956991
27/09/2021,41560,7920488
26/09/2021,32045,7878928
25/09/2021,28542,7846883
24/09/2021,32075,7818341
23/09/2021,35812,7786266
22/09/2021,36718,7750454
21/09/2021,38811,7713736
20/09/2021,40729,7674925
19/09/2021,31061,7634196
18/09/2021,26626,7603135
17/09/2021,29440,7576509
16/09/2021,29524,7547069
15/09/2021,30343,7517545
14/09/2021,31371,7487202
13/09/2021,34609,7455831
12/09/2021,24030,7421222
11/09/2021,23513,7397192
10/09/2021,29143,7373679
09/09/2021,33916,7344536
08/09/2021,35789,7310620
07/09/2021,38536,7274831
06/09/2021,44856,7236295
05/09/2021,31754,7191439
04/09/2021,31760,7159685
03/09/2021,38577,7127925
02/09/2021,42213,7089348
01/09/2021,43439,7047135
31/08/2021,45114,7003696
30/08/2021,34661,6958582
29/08/2021,26069,6923921
28/08/2021,27534,6897852
27/08/2021,33664,6870318
26/08/2021,37523,6836654
25/08/2021,38686,6799131
24/08/2021,37606,6760445
23/08/2021,39656,6722839
22/08/2021,28691,6683183
21/08/2021,28476,6654492
20/08/2021,32185,6626016
19/08/2021,36437,6593831
18/08/2021,38682,6557394
17/08/2021,37847,6518712
16/08/2021,36864,6480865
15/08/2021,25310,6444001
14/08/2021,25034,6418691
13/08/2021,28959,6393657
12/08/2021,31708,6364698
11/08/2021,33325,6332990
10/08/2021,31496,6299665
09/08/2021,32134,6268169
08/08/2021,22868,6236035
07/08/2021,22558,6213167
06/08/2021,28048,6190609
05/08/2021,31645,6162561
04/08/2021,32319,6130916
03/08/2021,30429,6098597
02/08/2021,29826,6068168
01/08/2021,20892,6038342
31/07/2021,20567,6017450
30/07/2021,24745,5996883
29/07/2021,28413,5972138
28/07/2021,30224,5943725
27/07/2021,29557,5913501
26/07/2021,29962,5883944
25/07/2021,22161,5853982
24/07/2021,22838,5831821
23/07/2021,27752,5808983
22/07/2021,31260,5781231
21/07/2021,35525,5749971
20/07/2021,39852,5714446
19/07/2021,47887,5674594
18/07/2021,36168,5626707
17/07/2021,38463,5590539
16/07/2021,55241,5552076
15/07/2021,61978,5496835
14/07/2021,54888,5434857
13/07/2021,47675,5379969
12/07/2021,44487,5332294
11/07/2021,30491,5287807
10/07/2021,28360,5257316
09/07/2021,32779,5228956
08/07/2021,33979,5196177
07/07/2021,38569,5162198
06/07/2021,36028,5123629
05/07/2021,34867,5087601
04/07/2021,25139,5052734
03/07/2021,24019,5027595
02/07/2021,26305,5003576
01/07/2021,28755,4977271
30/06/2021,28883,4948516
29/06/2021,28155,4919633
28/06/2021,28390,4891478
27/06/2021,18490,4863088
26/06/2021,16276,4844598
25/06/2021,18148,4828322
24/06/2021,18682,4810174
23/06/2021,18307,4791492
